,Fold selected features,Fold nb of features
Fold 35,"['ACP5', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'ALPP', 'AMY2A', 'ANGPTL3', 'ANXA5', 'AOC1', 'ATP6V1D', 'BRK1', 'BSG', 'CAMKK1', 'CCL17', 'CCL20', 'CCL21', 'CD109', 'CD276', 'CD5', 'CD63', 'CDC27', 'CDHR1', 'CES2', 'CGA', 'CHL1', 'CLEC4C', 'CLUL1', 'CRTAC1', 'CSF2RA', 'CTRB1', 'CTSC', 'CTSH', 'CTSL', 'CXCL8', 'DKK4', 'DNER', 'DSG2', 'ERBB3', 'ERP44', 'FABP4', 'FASLG', 'FBP1', 'FCN2', 'FCRL5', 'FCRLB', 'FGF21', 'FKBP5', 'FOSB', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GPA33', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL11', 'IL13', 'IL17C', 'IL17D', 'IL20', 'IL22RA1', 'IL24', 'IL2RB', 'IL33', 'ISM1', 'ITGB6', 'KIR2DL3', 'KLB', 'LAMA4', 'LGALS1', 'LGALS9', 'LHB', 'LRPAP1', 'LTA', 'LY96', 'LYPD1', 'MDGA1', 'MDK', 'MME', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NDUFS6', 'NELL2', 'NFATC3', 'NINJ1', 'NOMO1', 'NPTN', 'NTF4', 'PCOLCE', 'PDGFC', 'PLIN1', 'PM20D1', 'PODXL2', 'POLR2F', 'PON3', 'PPY', 'PRL', 'PSPN', 'RANGAP1', 'S100A16', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SPINK6', 'SRP14', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF4', 'TNFRSF8', 'TP53INP1', 'TPT1', 'TXNDC5', 'WIF1', 'XPNPEP2', 'XRCC4']",126
Fold 36,"['CCL20', 'CCL7', 'MZB1', 'SPINT1']",4
Fold 37,"['BAIAP2', 'CCL20', 'CNTN5', 'CXCL8', 'DSG4', 'LGALS1', 'LRRC25', 'MZB1', 'PLAUR', 'TIMP1', 'TNFRSF8']",11
Fold 38,"['ADAM15', 'ADAMTS15', 'ANXA3', 'BAIAP2', 'BST1', 'CASP1', 'CCL19', 'CCL20', 'CD5', 'CEACAM21', 'CEACAM5', 'CLC', 'COPE', 'CPA2', 'CRTAC1', 'CTSH', 'DDX58', 'DKKL1', 'EPCAM', 'FOSB', 'GH2', 'GPA33', 'GPC5', 'HCLS1', 'HLA-DRA', 'ICAM1', 'IFNGR2', 'IFNLR1', 'IGF2R', 'IL12RB1', 'IL18RAP', 'IL22RA1', 'IL32', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLRD1', 'LILRB1', 'LY9', 'LY96', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NFASC', 'NINJ1', 'NRP1', 'PDGFC', 'PIGR', 'PLA2G10', 'PON3', 'PPY', 'RAB6B', 'RBP2', 'SDC1', 'SELPLG', 'SH2D1A', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SRP14', 'SSB', 'SSC5D', 'TDGF1', 'THPO', 'TIGAR', 'TMPRSS5', 'TNFRSF13B', 'TNFRSF8', 'TSLP', 'XPNPEP2']",72
Fold 39,"['CCL19', 'CCL20', 'CES2', 'CRTAC1', 'DKKL1', 'DSG4', 'GNLY', 'HDGF', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PSIP1', 'RANGAP1', 'TMPRSS5', 'XPNPEP2', 'XRCC4']",17
Fold 40,"['AMN', 'ANGPTL2', 'ANXA3', 'AOC1', 'ATP6V1D', 'CASP1', 'CCL15', 'CCL17', 'CCL19', 'CCL20', 'CD5', 'CD63', 'CDHR1', 'CHIT1', 'CHL1', 'CLUL1', 'COL4A1', 'COL6A3', 'COLEC12', 'CPPED1', 'CRLF1', 'CRTAC1', 'CTSH', 'CTSS', 'CXCL14', 'CXCL8', 'DKKL1', 'DPT', 'ENPP7', 'FABP4', 'FCAR', 'FCRL5', 'FOSB', 'GFRA2', 'GGT5', 'GNLY', 'HCLS1', 'HDGF', 'HLA-DRA', 'ICAM1', 'IGF2R', 'IL13', 'IL17C', 'IL17RA', 'IL6', 'KCNIP4', 'KIR2DL3', 'KLK10', 'KLRD1', 'LAIR2', 'LAMA4', 'LRIG1', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MGMT', 'MILR1', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NPTN', 'NTRK3', 'NXPH1', 'PDGFC', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PRKRA', 'PSPN', 'PTH1R', 'RANGAP1', 'RASSF2', 'RETN', 'SERPINB9', 'SIGLEC9', 'SMOC2', 'SPINK1', 'SRP14', 'SSB', 'STC2', 'TDGF1', 'TFRC', 'THBS4', 'TIGAR', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TSLP', 'TSPAN1', 'TXLNA', 'XPNPEP2', 'XRCC4']",98
Fold 41,"['ACE2', 'ACP5', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMBP', 'AMY2A', 'AMY2B', 'ANGPTL2', 'ANGPTL7', 'AOC1', 'ARID4B', 'ARNT', 'ATP6V1D', 'BAIAP2', 'BPIFB1', 'BST1', 'C4BPB', 'CA6', 'CALB2', 'CCL20', 'CD177', 'CD276', 'CD63', 'CDH17', 'CDHR1', 'CEACAM3', 'CES2', 'CHL1', 'CLEC4G', 'CLSPN', 'CNTN1', 'COLEC12', 'CPA1', 'CPA2', 'CRTAC1', 'CTSF', 'CTSH', 'CTSL', 'CXCL8', 'DEFA1_DEFA1B', 'DKKL1', 'DNER', 'DPT', 'DSG2', 'DSG4', 'EGLN1', 'ELOA', 'ERBB3', 'EREG', 'FABP1', 'FABP4', 'FASLG', 'FCN2', 'FCRL5', 'FCRLB', 'FOSB', 'FST', 'FUT3_FUT5', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GLB1', 'GNLY', 'GPA33', 'HDGF', 'HLA-DRA', 'HSPG2', 'IGF2R', 'IL11', 'IL13', 'IL17C', 'IL1RAP', 'IL2RB', 'IL32', 'INHBC', 'ISM1', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLRD1', 'LAMA4', 'LILRA5', 'LILRB1', 'LRRC25', 'LY96', 'LYPD1', 'MAPT', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MME', 'MUC13', 'MZB1', 'NECTIN2', 'NEFL', 'NINJ1', 'NOMO1', 'NPTN', 'NPY', 'NRP1', 'NTF4', 'NTRK3', 'PCSK9', 'PDGFC', 'PM20D1', 'PODXL', 'PODXL2', 'PON3', 'PPY', 'PTH1R', 'PTS', 'RANGAP1', 'REN', 'SCGN', 'SEMA7A', 'SFTPD', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SSB', 'ST3GAL1', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'TSHB', 'WIF1', 'XPNPEP2']",140
Fold 42,['MZB1'],1
Fold 43,"['CCL7', 'LGALS9', 'MZB1']",3
Fold 44,"['ACP6', 'ACTN4', 'ADAMTS13', 'ADAMTS15', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CCL19', 'CCL20', 'CD200', 'CD276', 'CD63', 'CDH17', 'CES2', 'CHIT1', 'CLEC4C', 'CLPS', 'COL4A1', 'CPA2', 'CRTAC1', 'CTSF', 'CTSH', 'CTSL', 'ENPP7', 'ERBB3', 'FABP4', 'FBP1', 'FCGR2B', 'FCRL5', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GGH', 'GGT1', 'GGT5', 'GH2', 'GP2', 'HBQ1', 'HCLS1', 'HDGF', 'HEBP1', 'HLA-DRA', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IGSF3', 'IL11', 'IL17RB', 'IL1RAP', 'IL22RA1', 'IL2RA', 'IL33', 'IL6R', 'ISLR2', 'ISM1', 'KCNIP4', 'KLB', 'KLK10', 'KLK12', 'KLRB1', 'KLRD1', 'LAMA4', 'LGALS1', 'LHB', 'LILRB1', 'LY96', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MMP13', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NECTIN2', 'NGF', 'NINJ1', 'NOS1', 'NPTN', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PM20D1', 'PON2', 'PPY', 'PRSS8', 'PTEN', 'RANGAP1', 'RARRES1', 'S100A16', 'SDC1', 'SELPLG', 'SEMA7A', 'SIGLEC9', 'SLC16A1', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF10B', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TNFSF12', 'TPT1', 'ULBP2', 'VWA1', 'XPNPEP2']",120
Fold 45,"['ACE2', 'ADAM15', 'ADAMTS15', 'AMBN', 'AMY2A', 'AMY2B', 'AOC1', 'BSG', 'CA5A', 'CCL19', 'CCL20', 'CDH17', 'CDHR2', 'CNTN2', 'COLEC12', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSF', 'CTSH', 'CTSL', 'DKKL1', 'DLL1', 'DPT', 'ENPP7', 'EREG', 'FABP4', 'FBP1', 'FCN2', 'FCRL5', 'GFRA2', 'GGT5', 'GH2', 'GNLY', 'GP2', 'GPA33', 'GPKOW', 'HBQ1', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL11', 'IL20', 'INHBC', 'KCNIP4', 'KLB', 'KLK10', 'KLRD1', 'LAMA4', 'LILRB1', 'LRIG1', 'LRP11', 'LTBP3', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NDUFS6', 'NGF', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NTRK3', 'PCOLCE', 'PDGFC', 'PLAUR', 'PLIN1', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRTG', 'PTPRM', 'RANGAP1', 'REN', 'S100A16', 'SAMD9L', 'SIRT5', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF4', 'TPT1', 'TSLP', 'TYMP', 'ULBP2', 'VWA1', 'WFIKKN1', 'XPNPEP2', 'XRCC4']",110
Fold 46,"['ACE2', 'ADAMTS13', 'ADAMTS15', 'ADGRG2', 'AFP', 'AMBP', 'ANGPTL2', 'ANGPTL3', 'AOC1', 'APEX1', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CCL20', 'CD164', 'CD209', 'CD276', 'CD38', 'CD79B', 'CES2', 'CHIT1', 'CLUL1', 'COL4A1', 'CRH', 'CRTAC1', 'CTSH', 'CTSL', 'CXCL8', 'DKKL1', 'DPT', 'DSG2', 'DSG4', 'ECE1', 'EPCAM', 'ERBB3', 'FABP4', 'FAP', 'FASLG', 'FCAR', 'FCGR2B', 'FCN2', 'FGF21', 'FGR', 'FOSB', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GPA33', 'GRN', 'HAVCR2', 'HBQ1', 'HSP90B1', 'ICAM1', 'IGFBPL1', 'IKZF2', 'IL11', 'IL13', 'IL17C', 'IL24', 'IL2RA', 'IL2RB', 'IL5', 'JUN', 'KCNIP4', 'KLK10', 'KLK12', 'L1CAM', 'LAMA4', 'LEP', 'LGALS1', 'LILRA5', 'LILRB1', 'LY9', 'LY96', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MUC13', 'MZB1', 'NCLN', 'NELL2', 'NPTN', 'NPY', 'NRP2', 'PDGFRA', 'PLAUR', 'PON3', 'PPY', 'PSIP1', 'PSPN', 'RANGAP1', 'RARRES1', 'RASA1', 'RRM2', 'S100A16', 'SCARB1', 'SIGLEC9', 'SMOC2', 'SPINT1', 'SRP14', 'SSC5D', 'TAFA5', 'TCL1A', 'TDGF1', 'THBS2', 'THPO', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TNFSF12', 'TPT1', 'VWA1']",119
Fold 47,"['ADAMTS13', 'ARNT', 'BAIAP2', 'BSG', 'C19orf12', 'CCL20', 'CDHR1', 'CES2', 'CHIT1', 'CRTAC1', 'HDGF', 'IL22RA1', 'KIR2DL3', 'LAMA4', 'LGALS1', 'LILRA5', 'LY96', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NOMO1', 'NPTN', 'PPY', 'XPNPEP2']",25
Fold 48,"['ANGPTL2', 'CASP1', 'CRTAC1', 'CTSH', 'DSG4', 'FOSB', 'IGF2R', 'LGALS1', 'MDGA1', 'MZB1', 'PLAUR', 'SIGLEC9', 'SRP14', 'TNFRSF8']",14
Fold 49,"['ADAM15', 'ADAMTS15', 'AMY2A', 'AMY2B', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD164', 'CD276', 'CD300C', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CLUL1', 'CPA2', 'CRTAC1', 'CTRB1', 'CXCL8', 'DDC', 'DLL1', 'DPT', 'FCAR', 'FCGR2A', 'FCN2', 'FCRL5', 'FCRL6', 'FGF21', 'FOSB', 'FUCA1', 'FUS', 'GAL', 'GGT5', 'GNLY', 'GPA33', 'HLA-DRA', 'IGF2R', 'IGSF3', 'IL11', 'IL12RB1', 'IL13', 'IL13RA1', 'IL16', 'IL17RB', 'IL2', 'IL2RA', 'IL5RA', 'ILKAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK14', 'LAMA4', 'LILRB1', 'LRP11', 'LRRC25', 'LYPD8', 'MAGED1', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NCAM2', 'NOMO1', 'NPTN', 'NRP1', 'PDCD1LG2', 'PDGFC', 'PM20D1', 'PON3', 'RBP2', 'RETN', 'SCARB1', 'SPINK1', 'SRP14', 'TDGF1', 'TFRC', 'THBS2', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TNFSF12', 'TNNI3', 'TP53INP1', 'TSHB', 'TXLNA', 'WISP1', 'XPNPEP2', 'XRCC4']",94
Fold 50,"['CCL20', 'FOSB', 'MDGA1', 'MZB1', 'PON3', 'SIGLEC9', 'SRP14', 'TMPRSS5', 'TNFRSF8']",9
Fold 51,"['ACE2', 'ACP5', 'ACTN4', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'AOC1', 'B4GAT1', 'BAIAP2', 'BCR', 'BSG', 'CALB2', 'CAPG', 'CCL20', 'CD200', 'CD276', 'CD63', 'CDH17', 'CDHR1', 'CELA3A', 'CES2', 'CGREF1', 'CHIT1', 'CLEC4C', 'CLEC4G', 'CLPS', 'COL4A1', 'COX5B', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSL', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'EPCAM', 'EREG', 'FABP4', 'FASLG', 'FCGR2B', 'FCN2', 'FOSB', 'FST', 'FUT3_FUT5', 'GDF15', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'HCLS1', 'HDGF', 'HEBP1', 'HLA-DRA', 'ICAM1', 'ICAM5', 'IGF2R', 'IL13', 'IL17F', 'IL18RAP', 'IL22RA1', 'IL24', 'IL2RA', 'IL33', 'ISLR2', 'KIR2DL3', 'KLK1', 'KLK10', 'KLK12', 'KLRB1', 'LAMA4', 'LGALS1', 'LILRA5', 'LRPAP1', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MGMT', 'MME', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NINJ1', 'NPTN', 'NPTXR', 'NPY', 'NTF4', 'NTRK3', 'PAEP', 'PCSK9', 'PDGFC', 'PDGFRA', 'PDLIM7', 'PLA2G10', 'PLAUR', 'PM20D1', 'PNLIPRP2', 'PON3', 'PPY', 'PRL', 'PRSS8', 'PSIP1', 'PTH1R', 'RANGAP1', 'RARRES1', 'SCGN', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SRP14', 'SSB', 'ST3GAL1', 'STC2', 'TDGF1', 'THPO', 'TIMP3', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'TSHB', 'XPNPEP2', 'XRCC4']",137
Fold 52,"['ADAMTS16', 'ADGRG2', 'AMY2B', 'ANGPTL2', 'ATP6V1D', 'BAIAP2', 'BGN', 'BST2', 'C19orf12', 'CCL15', 'CCL20', 'CD300C', 'CEACAM3', 'CLEC11A', 'CLUL1', 'CNTN1', 'CNTN2', 'CPA2', 'CRTAC1', 'CTSH', 'CTSL', 'DKKL1', 'DPT', 'EPHA1', 'ERBB4', 'FCAR', 'GHRHR', 'HLA-DRA', 'HPGDS', 'ICAM3', 'IFNGR2', 'IGF2R', 'IL32', 'IL33', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'LAMA4', 'LILRA5', 'LRRC25', 'LY9', 'LY96', 'MAGED1', 'MASP1', 'MDGA1', 'MUC13', 'MZB1', 'NINJ1', 'NOMO1', 'NPTN', 'NRP1', 'NTRK3', 'PDGFC', 'PIGR', 'PPY', 'PRTG', 'RANGAP1', 'RETN', 'SIGLEC10', 'TCL1A', 'TCL1B', 'TDGF1', 'THBS2', 'THPO', 'TNFRSF11B', 'UMOD', 'VEGFA', 'WIF1', 'XPNPEP2']",70
Fold 53,"['ADAMTS13', 'ADAMTS15', 'ADGRG2', 'AFP', 'AHSP', 'AKR1C4', 'AMBP', 'ANGPTL3', 'AOC1', 'APEX1', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CCL19', 'CCL20', 'CD164', 'CD276', 'CD38', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CHL1', 'CLUL1', 'CNTN5', 'CPA2', 'CPE', 'CRTAC1', 'CXCL8', 'DKKL1', 'DPT', 'DSG2', 'DSG4', 'EDIL3', 'EPCAM', 'ERBB3', 'FABP4', 'FAP', 'FASLG', 'FCAR', 'FCGR2A', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GLT8D2', 'GPA33', 'GRN', 'HBQ1', 'HDGF', 'HEBP1', 'HMBS', 'HMOX1', 'HSP90B1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL16', 'IL17C', 'IL1A', 'IL22RA1', 'IL2RA', 'ILKAP', 'ING1', 'JCHAIN', 'JUN', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK12', 'L1CAM', 'LAMA4', 'LEP', 'LGALS1', 'LILRA5', 'LILRB1', 'LPO', 'LRPAP1', 'LY9', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MEGF10', 'MET', 'MILR1', 'MUC13', 'MZB1', 'NDRG1', 'NECTIN2', 'NELL2', 'NPTN', 'NPY', 'NTRK3', 'OMG', 'PAEP', 'PCOLCE', 'PDGFC', 'PLA2G7', 'POLR2F', 'PON3', 'PPY', 'PRSS8', 'PSIP1', 'PSPN', 'PTK7', 'RANGAP1', 'RARRES1', 'RASA1', 'RCOR1', 'S100A16', 'SCARB1', 'SCGN', 'SEZ6L2', 'SH2D1A', 'SPINT1', 'SRP14', 'SSB', 'TCL1A', 'TCL1B', 'TDGF1', 'TFPI2', 'TFRC', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'XPNPEP2']",140
Fold 54,"['CCL7', 'LGALS9', 'MZB1']",3
Fold 55,"['BAIAP2', 'CCL20', 'CRTAC1', 'DSG4', 'FOSB', 'HDGF', 'IGF2R', 'LGALS1', 'MAGED1', 'MDGA1', 'MUC13', 'MZB1', 'SMOC2', 'TNC', 'XPNPEP2']",15
Fold 56,"['ABL1', 'ACP5', 'ACP6', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMY2B', 'AOC1', 'ATP6V1D', 'BAIAP2', 'BMP4', 'BRK1', 'BSG', 'CALB2', 'CAMKK1', 'CAPG', 'CCL20', 'CD33', 'CD63', 'CDHR1', 'CDKN1A', 'CES2', 'CHIT1', 'CLEC4G', 'CLPS', 'CNTN1', 'COLEC12', 'CPA2', 'CRELD2', 'CRIM1', 'CRIP2', 'CRTAC1', 'CTSH', 'CTSL', 'CXCL8', 'DKK1', 'DKK3', 'DKKL1', 'DLL1', 'DNER', 'DOK2', 'DSG4', 'DUOX2', 'ECE1', 'ENAH', 'ENPP7', 'F3', 'FABP2', 'FASLG', 'FBP1', 'FCGR2B', 'FCGR3B', 'FCN2', 'FGF21', 'FOSB', 'GFAP', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'HBQ1', 'HCLS1', 'HDGF', 'HEBP1', 'HLA-DRA', 'ICAM5', 'IFNGR2', 'IGF2R', 'IKBKG', 'IL11', 'IL13', 'IL1RAP', 'IL22RA1', 'IL24', 'IL2RB', 'IL33', 'IL7R', 'KCNIP4', 'KLB', 'KLK1', 'KLK10', 'KLRB1', 'LAMA4', 'LGALS1', 'LILRA5', 'LILRB1', 'LRPAP1', 'LTA', 'LY96', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NECTIN2', 'NEFL', 'NINJ1', 'NPTN', 'NPTXR', 'NRP1', 'NXPH1', 'PCOLCE', 'PDGFC', 'PNLIPRP2', 'PODXL2', 'PON3', 'PPY', 'PRKRA', 'PRL', 'RARRES1', 'RBP2', 'RTN4R', 'S100A16', 'SELPLG', 'SERPINB9', 'SETMAR', 'SEZ6L2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SOST', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TFPI2', 'THBD', 'THPO', 'TIMD4', 'TNC', 'TNFRSF4', 'TNFRSF8', 'TRIAP1', 'TSHB', 'TXLNA', 'ULBP2', 'VWA1', 'XPNPEP2']",142
Fold 57,"['ACE2', 'ACP5', 'ADAM15', 'AMBN', 'AMY2A', 'AMY2B', 'ANGPTL3', 'BCAN', 'CCL15', 'CCL20', 'CD300C', 'CD63', 'CDH5', 'CEACAM3', 'CES2', 'CNTN1', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSD', 'CTSH', 'CTSL', 'DKKL1', 'DLL1', 'EDA2R', 'EPCAM', 'FABP4', 'FBP1', 'FCGR2A', 'FCGR2B', 'FCN2', 'FCRL2', 'FCRL6', 'FCRLB', 'FGF21', 'FOSB', 'GGT5', 'GH1', 'GH2', 'GPA33', 'GPKOW', 'GPR37', 'HDGF', 'HLA-DRA', 'IGF2R', 'IGSF3', 'IL11', 'IL15RA', 'IL18RAP', 'IL1A', 'IL2RB', 'ILKAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK14', 'KLK6', 'KRT18', 'LILRB1', 'LILRB5', 'LRP11', 'LY9', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NINJ1', 'NOMO1', 'NPTN', 'NPY', 'NRP2', 'OXT', 'PM20D1', 'PPY', 'PRTG', 'PTS', 'RANGAP1', 'RGMA', 'SCP2', 'SDC1', 'SPINK6', 'SPINT1', 'SSC5D', 'TDGF1', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TNFRSF8', 'ULBP2', 'VWA1', 'XPNPEP2']",93
Fold 58,"['CAPG', 'CCL20', 'CRTAC1', 'CSTB', 'EGLN1', 'MSR1', 'MZB1']",7
Fold 59,"['ADAMTS13', 'AFP', 'AKR1C4', 'ANGPTL3', 'AOC1', 'APOM', 'BAIAP2', 'CA6', 'CALB2', 'CCL19', 'CCL20', 'CD164', 'CD200', 'CD38', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLEC4C', 'CLPS', 'CLUL1', 'CNTN5', 'COL4A1', 'CRTAC1', 'CTRB1', 'CTSL', 'CXCL8', 'DKKL1', 'DPT', 'ECE1', 'EREG', 'FABP4', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GGT5', 'GPA33', 'HBQ1', 'HDGF', 'ICAM1', 'IL13', 'IL17C', 'IL24', 'IL2RA', 'IL5', 'ILKAP', 'ISLR2', 'KCNIP4', 'KLK12', 'LAMA4', 'LEP', 'LHB', 'LILRA5', 'LILRB1', 'LRP1', 'LRPAP1', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NELL2', 'NFKBIE', 'NOMO1', 'NPTN', 'NPTXR', 'NPY', 'NTRK3', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PLA2G7', 'PON2', 'PON3', 'PPP3R1', 'PRDX1', 'PRKRA', 'PRSS8', 'PSIP1', 'RAB6B', 'RANGAP1', 'RARRES1', 'RCOR1', 'S100A16', 'SCARB1', 'SIGLEC9', 'SOD2', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'THBS2', 'THPO', 'TIMP3', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TP53', 'TPT1', 'TSLP', 'TSPAN1', 'VWF', 'XPNPEP2', 'XRCC4']",111
Fold 60,"['CRTAC1', 'FOSB', 'GZMA', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'PCSK9', 'PIGR', 'PON3', 'TNFRSF8']",11
Fold 61,['MZB1'],1
Fold 62,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMBP', 'ANGPTL2', 'ARNT', 'BGN', 'CA5A', 'CALB2', 'CCL15', 'CCL20', 'CCL22', 'CD164', 'CEACAM3', 'CES2', 'CNTNAP2', 'COL4A1', 'COLEC12', 'CPA2', 'CRTAC1', 'CTSF', 'CTSH', 'DKKL1', 'DLL1', 'DSG2', 'ECE1', 'FABP4', 'FBP1', 'FCAR', 'FCN2', 'GFOD2', 'GFRA2', 'GGT5', 'HBQ1', 'HLA-DRA', 'ICAM5', 'IGF2R', 'IGSF8', 'IL11', 'IL13', 'IL22RA1', 'IL24', 'IL33', 'ILKAP', 'KCNIP4', 'KLB', 'KLK1', 'KLK10', 'KLK11', 'KLK14', 'LAMA4', 'LBR', 'LEP', 'LGALS1', 'LGALS9', 'LRIG1', 'LRP11', 'LRPAP1', 'LY96', 'LYPD1', 'MDGA1', 'MET', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NOMO1', 'NPTN', 'NRTN', 'NTRK3', 'OMG', 'PCOLCE', 'PCSK9', 'PDGFC', 'PLAUR', 'PODXL2', 'PPP3R1', 'PPY', 'PREB', 'PRL', 'PRTG', 'RANGAP1', 'RETN', 'SCGN', 'SIGLEC9', 'SMPDL3A', 'SPINT1', 'SRP14', 'TCL1A', 'TFPI2', 'THPO', 'TNC', 'TNFRSF11A', 'TNFRSF4', 'TNFRSF8', 'TSPAN1', 'ULBP2', 'VWA1', 'VWC2', 'VWF', 'WIF1', 'WISP2', 'XPNPEP2', 'XRCC4']",106
Fold 63,[],0
