,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor proliferating_tumorfront_VEGF,104.0,-0.08193079209521487,0.04250405240381145,0.06896433333905408
Tumor proliferating_tumorfront_pCREB,101.0,-0.3854206158992862,0.12502509261161718,0.09987740276926416
Tumor proliferating_tumorfront_pNFkB,87.0,-0.10232687325423484,0.2035734085601739,0.40250382378200356
Tumor proliferating_tumorfront_GranzymeB,88.0,-0.005122887402197129,0.9235371992695017,0.3708443333042212
Tumor proliferating_tumorfront_Ki67,100.0,-0.12090120374598168,0.07476416587110446,0.11235119769046395
Tumor proliferating_tumorfront_CD44,52.0,0.22749973130123247,0.18952904518326563,0.2602362026171888
Tumor proliferating_tumorfront_pERK,78.0,-0.009393248839056012,0.7795685304379211,0.7508318840891169
Tumor proliferating_tumorfront_pMAPKAPK2,86.0,0.05989355738897795,0.7279731474155756,0.43573066003173655
Tumor proliferating_tumorfront_pS6,83.0,-0.20700999614282,0.5195899012704156,0.5443701458566098
Vessel_intratumor_pp38,86.0,-0.029658851470314843,0.5315587481909072,0.43006036914185397
Vessel_intratumor_pSTAT1,84.0,-0.021495197080662512,0.5498608376790022,0.5014650543134418
Vessel_intratumor_pSTAT3,79.0,-0.036487473022634456,0.4331682784709967,0.7039963166690573
Vessel_intratumor_CD36,79.0,-0.02287204362724546,0.7460528289405968,0.7039963166690573
Vessel_intratumor_E-Cadherin,75.0,-0.02192151113478194,0.8005130920635593,0.8838207591518874
Vessel_intratumor_VEGF,71.0,0.004453761829208286,0.9529890706709507,0.9766847482197133
Vessel_intratumor_pCREB,81.0,-0.20600734989948405,0.44279940101948134,0.6193065349631823
Vessel_intratumor_pNFkB,69.0,-0.02681409337690077,0.8671200203387355,0.8838207591518874
Vessel_intratumor_GranzymeB,70.0,0.01816142113013869,0.8099052906724635,0.930133811002879
Vessel_intratumor_Ki67,85.5,-0.08876349864881042,0.27264117135522403,0.4444809602458485
Vessel_intratumor_CD44,70.0,0.090027766166147,0.5048878470834781,0.930133811002879
Vessel_intratumor_pERK,72.5,-0.07886138815253779,0.4340270258281095,1.0
Vessel_intratumor_pMAPKAPK2,68.0,-0.047675402080644524,0.8116141996549318,0.8379014845448695
Vessel_intratumor_pS6,86.0,-0.3325524802834814,0.3676368491049318,0.43006036914185397
Vessel_stromal_pp38,94.0,-0.022343715191374625,0.31308177561292744,0.21449380778351745
Vessel_stromal_pSTAT1,86.0,-0.013858840724938926,0.4267175370699531,0.43573066003173655
Vessel_stromal_pSTAT3,99.0,-0.03734506046749142,0.09544328025220801,0.12602212177037309
Vessel_stromal_CD36,57.0,0.04118495019773849,0.4084824742763784,0.40250382378200356
Vessel_stromal_E-Cadherin,82.0,-0.006437897644801266,0.8062768908571163,0.5833604667027033
Vessel_stromal_VEGF,95.0,-0.050271183936386854,0.1321092080027694,0.1939308522824107
Vessel_stromal_pCREB,103.0,-0.17943770110496393,0.17413168490985065,0.07825222852623705
Vessel_stromal_pNFkB,91.0,-0.07936418007517093,0.1912716460909312,0.28547630885188247
Vessel_stromal_GranzymeB,87.0,-0.07094387463189805,0.2210621335459056,0.40250382378200356
Vessel_stromal_Ki67,58.0,0.006738090145280706,0.4664164812946795,0.43573066003173655
Vessel_stromal_CD44,104.0,-0.08777728017568467,0.03902588993755424,0.06896433333905408
Vessel_stromal_pERK,83.0,-0.003540629243791546,0.8634602980497484,0.5443701458566098
Vessel_stromal_pMAPKAPK2,90.0,-0.05592981182559781,0.31333482036312466,0.3123214216762161
Vessel_stromal_pS6,64.0,-0.032630270160281194,0.8392585465548743,0.6650055421020291
Vessel_tumorfront_pp38,84.0,-0.0076634940969150245,0.6923971088899881,0.5067205148778584
Vessel_tumorfront_pSTAT1,76.0,-0.008082660229679961,0.5981433896357762,0.8398599725400034
Vessel_tumorfront_pSTAT3,84.0,-0.014142949835908913,0.4339552771246389,0.5067205148778584
Vessel_tumorfront_CD36,51.0,0.09748109070630845,0.14181519511704388,0.23658409332187613
Vessel_tumorfront_E-Cadherin,63.0,0.006469250422097811,0.7643189584305097,0.623604884395689
Vessel_tumorfront_VEGF,82.0,-0.016922647188065576,0.5446539094680903,0.5833604667027033
Vessel_tumorfront_pCREB,88.0,-0.06132509309668499,0.6482372394790683,0.3708443333042212
Vessel_tumorfront_pNFkB,75.0,-0.02621020917641287,0.6333845617454386,0.8852339144732017
Vessel_tumorfront_GranzymeB,83.0,-0.00814132415825064,0.8844893512179437,0.5443701458566098
Vessel_tumorfront_Ki67,88.0,0.0023456982263739268,0.9026055021290862,0.3708443333042212
Vessel_tumorfront_CD44,74.0,0.017031513974248513,0.6364696281882091,0.9309874465595671
Vessel_tumorfront_pERK,64.0,0.01322018859406296,0.46886728182854076,0.6650055421020291
Vessel_tumorfront_pMAPKAPK2,69.0,0.002544044941694412,0.9656738841988843,0.8852339144732017
Vessel_tumorfront_pS6,72.0,-0.007388306365033959,0.9610300766948146,1.0
Fibroblasts_stromal_pp38,90.0,-0.016607326491961644,0.35491279174279344,0.3123214216762161
Fibroblasts_stromal_pSTAT1,81.0,-0.012116682392500217,0.41531299485577466,0.623604884395689
Fibroblasts_stromal_pSTAT3,102.0,-0.02534073592811681,0.16341868618016908,0.08853377201422956
Fibroblasts_stromal_CD36,73.0,0.0013545062617025538,0.9713121538701118,0.9769702553219757
Fibroblasts_stromal_E-Cadherin,87.0,0.008192079757308068,0.8081502192877636,0.40250382378200356
Fibroblasts_stromal_VEGF,92.0,-0.02952823148926076,0.17160128492234378,0.2602362026171888
Fibroblasts_stromal_pCREB,96.0,-0.15577929308807364,0.1226524192981438,0.1748533068932927
Fibroblasts_stromal_pNFkB,89.0,-0.05406346374795046,0.14562968256946712,0.3407786135629546
Fibroblasts_stromal_GranzymeB,77.0,-0.0014780053747416866,0.9760898209583868,0.7950121719642381
Fibroblasts_stromal_Ki67,57.0,0.006687180776225141,0.3708700599005085,0.40250382378200356
Fibroblasts_stromal_CD44,89.0,-0.05482123135377237,0.1931915961243727,0.3407786135629546
Fibroblasts_stromal_pERK,67.0,0.005970919110699212,0.5731241891035688,0.7950121719642381
Fibroblasts_stromal_pMAPKAPK2,92.0,-0.045805430208583575,0.23915859426586733,0.2602362026171888
Fibroblasts_stromal_pS6,79.0,-0.11186823357481646,0.42998131103790316,0.7074539677020747
Fibroblasts_tumorfront_pp38,81.0,-0.014477370529608569,0.4037312766896455,0.623604884395689
Fibroblasts_tumorfront_pSTAT1,70.0,-0.008102496557670119,0.5888329233800282,0.9309874465595671
Fibroblasts_tumorfront_pSTAT3,88.0,-0.014814721478868614,0.30647987667614385,0.3708443333042212
Fibroblasts_tumorfront_CD36,73.0,0.0011121291228325392,0.9530117750994601,0.9769702553219757
Fibroblasts_tumorfront_E-Cadherin,70.0,0.002722409485129307,0.9012780157676819,0.9309874465595671
Fibroblasts_tumorfront_VEGF,85.0,-0.0167887307174725,0.30511774722675433,0.47048642205878966
Fibroblasts_tumorfront_pCREB,96.0,-0.1339000809901013,0.1956408919104112,0.1748533068932927
Fibroblasts_tumorfront_pNFkB,87.0,-0.046954403697867075,0.22266808305754796,0.40250382378200356
Fibroblasts_tumorfront_GranzymeB,77.0,-0.0029564146994046636,0.9354398025300674,0.7950121719642381
Fibroblasts_tumorfront_Ki67,63.0,0.009445641973226546,0.6037189269427004,0.623604884395689
Fibroblasts_tumorfront_CD44,54.0,0.07647434889831911,0.21185707471505297,0.3123214216762161
Fibroblasts_tumorfront_pERK,55.0,0.011309202376437906,0.30732544662740696,0.3407786135629546
Fibroblasts_tumorfront_pMAPKAPK2,80.0,-0.024672905195780748,0.49423493713388855,0.6650055421020291
Fibroblasts_tumorfront_pS6,83.0,-0.0940523605774185,0.5360899582116001,0.5443701458566098
CD4 T cells naive_stromal_pp38,82.0,-0.010559451908698059,0.6417838735091475,0.5833604667027033
CD4 T cells naive_stromal_pSTAT1,84.0,-0.013405477128607929,0.2754615827286761,0.5067205148778584
CD4 T cells naive_stromal_pSTAT3,95.0,-0.030507509370417546,0.12174749737863381,0.1939308522824107
CD4 T cells naive_stromal_CD36,76.0,0.001739682412215282,0.9535632235965055,0.8398599725400034
CD4 T cells naive_stromal_E-Cadherin,86.0,-0.02416394202705524,0.18741318343834623,0.43573066003173655
CD4 T cells naive_stromal_VEGF,99.0,-0.07544468718050315,0.07403872498554072,0.12602212177037309
CD4 T cells naive_stromal_pCREB,91.0,-0.130090063083389,0.32523342093871754,0.28547630885188247
CD4 T cells naive_stromal_pNFkB,82.0,-0.0290116302785679,0.6417401632057174,0.5833604667027033
CD4 T cells naive_stromal_GranzymeB,71.0,0.04729581060609939,0.6144276985978991,0.9769702553219757
CD4 T cells naive_stromal_Ki67,70.0,0.004131438197926107,0.8247748949777715,0.9309874465595671
CD4 T cells naive_stromal_CD44,113.0,-0.2301938394860793,0.02353153276898088,0.01937331933159289
CD4 T cells naive_stromal_pERK,49.0,0.014207057727250644,0.24922065623295292,0.1939308522824107
CD4 T cells naive_stromal_pMAPKAPK2,80.0,-0.028949045787668326,0.48473487634280754,0.6650055421020291
CD4 T cells naive_stromal_pS6,88.0,-0.21185529974718265,0.23331809135426707,0.3708443333042212
CD4 T cells naive_tumorfront_pp38,101.0,-0.03231960874935502,0.05288193281797564,0.09987740276926416
CD4 T cells naive_tumorfront_pSTAT1,76.0,-0.008456676478144187,0.6294449467551135,0.8398599725400034
CD4 T cells naive_tumorfront_pSTAT3,90.0,-0.02106256452639832,0.30039444664633985,0.3123214216762161
CD4 T cells naive_tumorfront_CD36,61.0,0.04301627816238385,0.41054461410227316,0.5443701458566098
CD4 T cells naive_tumorfront_E-Cadherin,62.0,0.005065291688099494,0.787299945871091,0.5833604667027033
CD4 T cells naive_tumorfront_VEGF,71.0,-0.005852332855362852,0.8751353287525784,0.9769702553219757
CD4 T cells naive_tumorfront_pCREB,97.0,-0.18879852708634315,0.10969077478476924,0.15721275334000387
CD4 T cells naive_tumorfront_pNFkB,82.0,-0.040835615625319344,0.4455537774626306,0.5833604667027033
CD4 T cells naive_tumorfront_GranzymeB,76.0,0.01074938791526564,0.908754723667471,0.8398599725400034
CD4 T cells naive_tumorfront_Ki67,69.0,0.01674652347206243,0.5090577366953802,0.8852339144732017
CD4 T cells naive_tumorfront_CD44,92.0,-0.12793325638015585,0.15480650346764063,0.2602362026171888
CD4 T cells naive_tumorfront_pERK,79.0,0.004680962246442058,0.7332867331509093,0.7074539677020747
CD4 T cells naive_tumorfront_pMAPKAPK2,75.0,-0.017833471704639947,0.6544937551301065,0.8852339144732017
CD4 T cells naive_tumorfront_pS6,84.0,-0.10887118952279151,0.5411309619669757,0.5067205148778584
CD4 T cells memory_stromal_pp38,83.0,-0.01611762490837365,0.43208150683945223,0.5443701458566098
CD4 T cells memory_stromal_pSTAT1,84.0,-0.005679312218866445,0.7009273362934634,0.5067205148778584
CD4 T cells memory_stromal_pSTAT3,92.0,-0.02672654273492797,0.19873888450946633,0.2602362026171888
CD4 T cells memory_stromal_CD36,76.0,-0.004559258956524953,0.8676106524387938,0.8398599725400034
CD4 T cells memory_stromal_E-Cadherin,84.0,-0.0008973369211977555,0.9703929098838491,0.5067205148778584
CD4 T cells memory_stromal_VEGF,99.0,-0.056140660012590105,0.09022264522584791,0.12602212177037309
CD4 T cells memory_stromal_pCREB,93.0,-0.1751286420296757,0.17370893204703178,0.23658409332187613
CD4 T cells memory_stromal_pNFkB,95.0,-0.06310741271037251,0.16655747637299154,0.1939308522824107
CD4 T cells memory_stromal_GranzymeB,86.0,0.016694568342239036,0.8674528991505902,0.43573066003173655
CD4 T cells memory_stromal_Ki67,56.0,0.02344315615159598,0.32837225300432127,0.3708443333042212
CD4 T cells memory_stromal_CD44,109.0,-0.25324375325402015,0.0229707395271919,0.03508911609404786
CD4 T cells memory_stromal_pERK,63.0,0.0016027106832618987,0.8513744423456786,0.623604884395689
CD4 T cells memory_stromal_pMAPKAPK2,89.0,-0.048966319891471544,0.1959274839892658,0.3407786135629546
CD4 T cells memory_stromal_pS6,79.0,-0.07554892027226012,0.6269648116238022,0.7074539677020747
CD4 T cells memory_tumorfront_pp38,94.0,-0.025882482742565383,0.17791667312510684,0.21449380778351745
CD4 T cells memory_tumorfront_pSTAT1,99.0,-0.020316129767386337,0.19827445390941192,0.12602212177037309
CD4 T cells memory_tumorfront_pSTAT3,92.0,-0.024153417133050165,0.24366076954583168,0.2602362026171888
CD4 T cells memory_tumorfront_CD36,87.0,-0.0016520689890008045,0.9649553331597698,0.40250382378200356
CD4 T cells memory_tumorfront_E-Cadherin,78.0,0.003600569956503541,0.8816356418109903,0.7508318840891169
CD4 T cells memory_tumorfront_VEGF,93.0,-0.04427962427679891,0.14530603471506015,0.23658409332187613
CD4 T cells memory_tumorfront_pCREB,89.0,-0.12470280644475168,0.28311236827286834,0.3407786135629546
CD4 T cells memory_tumorfront_pNFkB,88.0,-0.062347509936679146,0.17655197819437785,0.3708443333042212
CD4 T cells memory_tumorfront_GranzymeB,83.0,-0.043435490303443125,0.4208286637723839,0.5443701458566098
CD4 T cells memory_tumorfront_Ki67,55.0,0.038323195822565534,0.13565375676580343,0.3407786135629546
CD4 T cells memory_tumorfront_CD44,96.0,-0.15899220726727348,0.11796096772712061,0.1748533068932927
CD4 T cells memory_tumorfront_pERK,47.0,0.004111446346748343,0.5605985893582509,0.15721275334000387
CD4 T cells memory_tumorfront_pMAPKAPK2,69.0,0.002884588469162175,0.936847234833643,0.8852339144732017
CD4 T cells memory_tumorfront_pS6,87.0,-0.18491880506991087,0.2658651884145188,0.40250382378200356
CD4 T cells regulatory_stromal_pp38,97.0,-0.032469028944479394,0.1677563966123557,0.15721275334000387
CD4 T cells regulatory_stromal_pSTAT1,70.0,-0.022976798628210754,0.5138680911053973,0.9309874465595671
CD4 T cells regulatory_stromal_pSTAT3,102.0,-0.04291710036275015,0.06795350469597505,0.08853377201422956
CD4 T cells regulatory_stromal_CD36,86.0,-0.02778695475731624,0.2975861134206812,0.43573066003173655
CD4 T cells regulatory_stromal_E-Cadherin,84.0,-0.007850842096394611,0.7124103206121346,0.5067205148778584
CD4 T cells regulatory_stromal_VEGF,88.0,-0.04957037461978964,0.17498210158606206,0.3708443333042212
CD4 T cells regulatory_stromal_pCREB,90.0,-0.15207115062478116,0.2904205824505419,0.3123214216762161
CD4 T cells regulatory_stromal_pNFkB,71.0,-0.03181438475427667,0.5274113959171022,0.9769702553219757
CD4 T cells regulatory_stromal_GranzymeB,76.0,0.04274546656883976,0.5976316786272684,0.8398599725400034
CD4 T cells regulatory_stromal_Ki67,53.0,0.03958312423131519,0.27587956218781917,0.28547630885188247
CD4 T cells regulatory_stromal_CD44,108.0,-0.23721965758204516,0.020266014219808736,0.040404119588223694
CD4 T cells regulatory_stromal_pERK,83.0,-0.0033321632386542205,0.7332814383107777,0.5443701458566098
CD4 T cells regulatory_stromal_pMAPKAPK2,78.0,-0.026989133199867843,0.5368013007732879,0.7508318840891169
CD4 T cells regulatory_stromal_pS6,80.0,-0.06629857869595157,0.6981726015463642,0.6650055421020291
CD4 T cells regulatory_tumorfront_pp38,90.0,-0.02022709560480973,0.44177092801740536,0.3123214216762161
CD4 T cells regulatory_tumorfront_pSTAT1,102.0,-0.03352234474634219,0.04388107187719576,0.08853377201422956
CD4 T cells regulatory_tumorfront_pSTAT3,107.0,-0.04562032833123081,0.08192480916339709,0.046386593281398644
CD4 T cells regulatory_tumorfront_CD36,70.0,0.010428332436742765,0.7869194542162065,0.9309874465595671
CD4 T cells regulatory_tumorfront_E-Cadherin,81.0,-0.0030149900069894597,0.9073297481574258,0.623604884395689
CD4 T cells regulatory_tumorfront_VEGF,100.0,-0.05143664378460577,0.10163606864114663,0.11235119769046395
CD4 T cells regulatory_tumorfront_pCREB,87.0,-0.10371770073825193,0.40672541058457323,0.40250382378200356
CD4 T cells regulatory_tumorfront_pNFkB,94.0,-0.05090771629917934,0.2757806811994186,0.21449380778351745
CD4 T cells regulatory_tumorfront_GranzymeB,85.0,-0.01107699137856033,0.889605526511362,0.47048642205878966
CD4 T cells regulatory_tumorfront_Ki67,86.0,0.007670242010344885,0.864008507757804,0.43573066003173655
CD4 T cells regulatory_tumorfront_CD44,88.0,-0.08681211621605256,0.36372655299797585,0.3708443333042212
CD4 T cells regulatory_tumorfront_pERK,60.0,0.01089868990270132,0.3306411219827271,0.5067205148778584
CD4 T cells regulatory_tumorfront_pMAPKAPK2,74.0,0.0001494556653113266,0.9977228246816756,0.9309874465595671
CD4 T cells regulatory_tumorfront_pS6,63.0,0.05738426009009345,0.7468541942327258,0.623604884395689
B cells_stromal_pp38,91.0,-0.02806659917094273,0.26563671127654287,0.28547630885188247
B cells_stromal_pSTAT1,84.0,-0.01716976255694075,0.39551133902875135,0.5067205148778584
B cells_stromal_pSTAT3,93.0,-0.029504529039069444,0.37119193160648767,0.23658409332187613
B cells_stromal_CD36,72.0,-0.016544900793236506,0.5978406347745472,1.0
B cells_stromal_E-Cadherin,89.0,-0.02834990153404171,0.2531875274061926,0.3407786135629546
B cells_stromal_VEGF,100.0,-0.07980486013992147,0.05077960694496197,0.11235119769046395
B cells_stromal_pCREB,100.0,-0.24192770051397205,0.11473130100156824,0.11235119769046395
B cells_stromal_pNFkB,96.0,-0.10396444998609095,0.11320802275529288,0.1748533068932927
B cells_stromal_GranzymeB,87.0,-0.0494436617572831,0.5488889915737749,0.40250382378200356
B cells_stromal_Ki67,80.0,-0.012085312601272241,0.4108925882984794,0.6650055421020291
B cells_stromal_CD44,110.0,-0.26900617252343784,0.021945466517071816,0.0303828219765775
B cells_stromal_pERK,62.0,0.001706862244633102,0.8679576244227145,0.5833604667027033
B cells_stromal_pMAPKAPK2,99.0,-0.08426257672708926,0.10229570468265607,0.12602212177037309
B cells_stromal_pS6,86.0,-0.21253462467398643,0.24237896198227432,0.43573066003173655
B cells_tumorfront_pp38,92.0,-0.028934704188159216,0.20774946903300925,0.2602362026171888
B cells_tumorfront_pSTAT1,98.5,-0.02149893846952311,0.3731767804296452,0.13324253515095394
B cells_tumorfront_pSTAT3,118.0,-0.06912932970802613,0.007469546535405073,0.008615558118820473
B cells_tumorfront_CD36,89.0,-0.04902811476842173,0.29392611017011216,0.3407786135629546
B cells_tumorfront_E-Cadherin,112.0,-0.05801905472974328,0.01651686657709492,0.02257606252313358
B cells_tumorfront_VEGF,106.0,-0.08107624031847754,0.05516049662633765,0.053097957285583426
B cells_tumorfront_pCREB,99.0,-0.22087879400267446,0.07877118495710962,0.12602212177037309
B cells_tumorfront_pNFkB,109.0,-0.12649488784806767,0.032437355666281364,0.03508911609404786
B cells_tumorfront_GranzymeB,91.0,-0.07921955196589192,0.3548858391623362,0.28547630885188247
B cells_tumorfront_Ki67,81.0,-0.01657203095512319,0.6085937720605812,0.623604884395689
B cells_tumorfront_CD44,104.0,-0.2122033988355056,0.057982648208339885,0.06896433333905408
B cells_tumorfront_pERK,58.0,0.010611693609674101,0.5239379803398453,0.4356308552430793
B cells_tumorfront_pMAPKAPK2,83.0,-0.04180288242575658,0.3577249633702282,0.5443701458566098
B cells_tumorfront_pS6,96.0,-0.33410177089564963,0.11999430404168937,0.1748533068932927
CD8 T cells_intratumor_pp38,106.0,-0.05835111725107889,0.11422694439088482,0.052891288735337216
CD8 T cells_intratumor_pSTAT1,107.0,-0.06337516281274551,0.022679909359281537,0.046196579196123216
CD8 T cells_intratumor_pSTAT3,126.0,-0.09585402527093796,0.001183821703503383,0.001991390057393833
CD8 T cells_intratumor_CD36,94.0,-0.09770769976602031,0.27804879102876157,0.21409495934893352
CD8 T cells_intratumor_E-Cadherin,93.0,-0.178320710692091,0.180583635543643,0.23617619644639543
CD8 T cells_intratumor_VEGF,108.0,-0.19570595900448634,0.02130309444785381,0.040230146024125515
CD8 T cells_intratumor_pCREB,112.0,-0.4704637521148658,0.04804136192906679,0.02245870369448129
CD8 T cells_intratumor_pNFkB,100.0,-0.0606604503618442,0.8497939434019649,0.11203879659968968
CD8 T cells_intratumor_GranzymeB,82.0,-0.12245115609247686,0.328499621128863,0.5830326809296239
CD8 T cells_intratumor_Ki67,104.0,-0.09204039712870846,0.04251605061719523,0.06872294338627076
CD8 T cells_intratumor_CD44,81.0,-0.12539961816692258,0.426150848347824,0.6233026627251221
CD8 T cells_intratumor_pERK,104.0,-0.030338095825564876,0.20056380779513933,0.06872294338627076
CD8 T cells_intratumor_pMAPKAPK2,98.0,-0.06783666891315338,0.5675195013009025,0.14060950894852056
CD8 T cells_intratumor_pS6,97.0,-0.5561796290402818,0.11671207719527267,0.15685170877622695
CD8 T cells_stromal_pp38,83.0,-0.015086141242585366,0.4958151463385161,0.5443701458566098
CD8 T cells_stromal_pSTAT1,86.0,-0.011255931923487061,0.3961845596974287,0.43573066003173655
CD8 T cells_stromal_pSTAT3,97.0,-0.02980080005382707,0.1684964866827172,0.15721275334000387
CD8 T cells_stromal_CD36,76.0,-0.0002898681753149279,0.9924939599847429,0.8398599725400034
CD8 T cells_stromal_E-Cadherin,89.0,-0.01625870181949146,0.39483562860300714,0.3407786135629546
CD8 T cells_stromal_VEGF,91.0,-0.044483611209971574,0.24116411667963267,0.28547630885188247
CD8 T cells_stromal_pCREB,88.0,-0.15733206455025117,0.2739713029562647,0.3708443333042212
